0,1,2,3,4
"{'businessPointId': 2015, 'businessPointName': '金融服务', 'id': 2015, 'leafNode': False}","{'businessPointId': 201514, 'businessPointName': '第三方支付', 'id': 201514, 'leafNode': True}",,,
"{'businessPointId': 2015, 'businessPointName': '金融服务', 'id': 2015, 'leafNode': False}","{'businessPointId': 201515, 'businessPointName': '网络借贷服务', 'id': 201515, 'leafNode': True}",,,
"{'businessPointId': 2015, 'businessPointName': '金融服务', 'id': 2015, 'leafNode': False}","{'businessPointId': 201516, 'businessPointName': '金融门户网站', 'id': 201516, 'leafNode': True}",,,
"{'businessPointId': 2016, 'businessPointName': 'IT/消费电子', 'id': 2016, 'leafNode': False}","{'businessPointId': 201604, 'businessPointName': 'IT/消费电子交易', 'id': 201604, 'leafNode': True}",,,
"{'businessPointId': 2017, 'businessPointName': '软件', 'id': 2017, 'leafNode': False}","{'businessPointId': 201705, 'businessPointName': '软件平台', 'id': 201705, 'leafNode': True}",,,
"{'businessPointId': 2018, 'businessPointName': '游戏', 'id': 2018, 'leafNode': False}","{'businessPointId': 201805, 'businessPointName': '游戏周边', 'id': 201805, 'leafNode': True}",,,
"{'businessPointId': 2020, 'businessPointName': '旅游服务', 'id': 2020, 'leafNode': False}","{'businessPointId': 202001, 'businessPointName': '旅游局', 'id': 202001, 'leafNode': True}",,,
"{'businessPointId': 2020, 'businessPointName': '旅游服务', 'id': 2020, 'leafNode': False}","{'businessPointId': 202006, 'businessPointName': '航空公司', 'id': 202006, 'leafNode': True}",,,
"{'businessPointId': 2020, 'businessPointName': '旅游服务', 'id': 2020, 'leafNode': False}","{'businessPointId': 202007, 'businessPointName': '在线旅游', 'id': 202007, 'leafNode': True}",,,
"{'businessPointId': 2021, 'businessPointName': '箱包服饰', 'id': 2021, 'leafNode': False}","{'businessPointId': 202106, 'businessPointName': '奢侈品', 'id': 202106, 'leafNode': True}",,,
"{'businessPointId': 2023, 'businessPointName': '房产家居', 'id': 2023, 'leafNode': False}","{'businessPointId': 202303, 'businessPointName': '物业管理', 'id': 202303, 'leafNode': True}",,,
"{'businessPointId': 2026, 'businessPointName': '网络服务', 'id': 2026, 'leafNode': False}","{'businessPointId': 202604, 'businessPointName': '系统集成', 'id': 202604, 'leafNode': True}",,,
"{'businessPointId': 2026, 'businessPointName': '网络服务', 'id': 2026, 'leafNode': False}","{'businessPointId': 202606, 'businessPointName': '网络服务-其他', 'id': 202606, 'leafNode': True}",,,
"{'businessPointId': 2031, 'businessPointName': '其他', 'id': 2031, 'leafNode': False}","{'businessPointId': 203101, 'businessPointName': '其他', 'id': 203101, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203201, 'businessPointName': 'IT/消费电子', 'id': 203201, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203202, 'businessPointName': '保健品', 'id': 203202, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203203, 'businessPointName': '药品', 'id': 203203, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203204, 'businessPointName': '消毒产品', 'id': 203204, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203205, 'businessPointName': '一般化妆品', 'id': 203205, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203206, 'businessPointName': '特殊用途化妆品', 'id': 203206, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203207, 'businessPointName': '快速消费品', 'id': 203207, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203208, 'businessPointName': '礼品', 'id': 203208, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203209, 'businessPointName': '电子电工', 'id': 203209, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203210, 'businessPointName': '房产家居', 'id': 203210, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203211, 'businessPointName': '化工及能源', 'id': 203211, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203212, 'businessPointName': '机械设备', 'id': 203212, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203213, 'businessPointName': '交通出行', 'id': 203213, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203214, 'businessPointName': '母婴用品', 'id': 203214, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203215, 'businessPointName': '农林牧渔', 'id': 203215, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203216, 'businessPointName': '食品饮料', 'id': 203216, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203217, 'businessPointName': '文体器材', 'id': 203217, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203218, 'businessPointName': '文娱传媒', 'id': 203218, 'leafNode': True}",,,
"{'businessPointId': 2032, 'businessPointName': '直营电商', 'id': 2032, 'leafNode': False}","{'businessPointId': 203219, 'businessPointName': '箱包服饰', 'id': 203219, 'leafNode': True}",,,
